"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 14:05:04 GMT 2023","Wed Jul 12 14:05:10 GMT 2023","6135","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_018 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields","TX_018 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields",""
"passed","Wed Jul 12 14:04:20 GMT 2023","Wed Jul 12 14:04:26 GMT 2023","6485","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_013 Test Sign up form from Contact Us page with negative scenario where all fields are filled with incorrect credentials","TX_013 Test Sign up form from Contact Us page with negative scenario where all fields are filled with incorrect credentials",""
"passed","Wed Jul 12 14:04:49 GMT 2023","Wed Jul 12 14:05:00 GMT 2023","10540","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_016 Test Sign In form from Contact Us page with negative scenario where all fields are filled with incorrect credentials","TX_016 Test Sign In form from Contact Us page with negative scenario where all fields are filled with incorrect credentials",""
"passed","Wed Jul 12 14:03:54 GMT 2023","Wed Jul 12 14:04:01 GMT 2023","6545","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_010 Check that ""Telnyx`s Terms & Conditions"" link navigate to ""Telnyx`s Terms & Conditions"" page from the Sign up page","TX_010 Check that ""Telnyx`s Terms & Conditions"" link navigate to ""Telnyx`s Terms & Conditions"" page from the Sign up page",""
"broken","Wed Jul 12 14:03:21 GMT 2023","Wed Jul 12 14:03:30 GMT 2023","9238","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_006 Test ""See use cases"" and ""See industries"" buttons functionality on ""Solutions"" page","TX_006 Test ""See use cases"" and ""See industries"" buttons functionality on ""Solutions"" page",""
"passed","Wed Jul 12 14:03:03 GMT 2023","Wed Jul 12 14:03:10 GMT 2023","6561","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_004 Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page","TX_004 Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page",""
"passed","Wed Jul 12 14:02:29 GMT 2023","Wed Jul 12 14:02:41 GMT 2023","11502","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page",""
"passed","Wed Jul 12 14:05:16 GMT 2023","Wed Jul 12 14:05:20 GMT 2023","4535","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_020 Test the ""Contact Us"" form with negative scenario when all fields are left empty","TX_020 Test the ""Contact Us"" form with negative scenario when all fields are left empty",""
"passed","Wed Jul 12 14:03:10 GMT 2023","Wed Jul 12 14:03:21 GMT 2023","11344","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_005 Test the ""Become a Telnyx Partner"" form with positive scenario, form opened via link from the Partnerships page","TX_005 Test the ""Become a Telnyx Partner"" form with positive scenario, form opened via link from the Partnerships page",""
"passed","Wed Jul 12 14:05:10 GMT 2023","Wed Jul 12 14:05:16 GMT 2023","5614","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_019 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field","TX_019 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field",""
"passed","Wed Jul 12 14:02:41 GMT 2023","Wed Jul 12 14:02:51 GMT 2023","10231","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_002 Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page","TX_002 Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page",""
"passed","Wed Jul 12 14:02:51 GMT 2023","Wed Jul 12 14:03:03 GMT 2023","11939","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_003 Test the ""Contact Us"" form with positive scenario, form opened via link from the Global Numbers page","TX_003 Test the ""Contact Us"" form with positive scenario, form opened via link from the Global Numbers page",""
"passed","Wed Jul 12 14:04:40 GMT 2023","Wed Jul 12 14:04:49 GMT 2023","9511","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_015 Test Sign In form from Sign Up page with negative scenario when all fields are left empty","TX_015 Test Sign In form from Sign Up page with negative scenario when all fields are left empty",""
"passed","Wed Jul 12 14:04:01 GMT 2023","Wed Jul 12 14:04:07 GMT 2023","6218","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_011 Check that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page","TX_011 Check that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page",""
"passed","Wed Jul 12 14:03:43 GMT 2023","Wed Jul 12 14:03:54 GMT 2023","11083","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_009 Test the ""Contact Us"" form with positive scenario, form opened via ""Talk to an expert"" link button from the ""g2-compare"" page","TX_009 Test the ""Contact Us"" form with positive scenario, form opened via ""Talk to an expert"" link button from the ""g2-compare"" page",""
"passed","Wed Jul 12 14:05:00 GMT 2023","Wed Jul 12 14:05:04 GMT 2023","4398","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_017 Chech that ""Support Center"" link navigate to ""Support Center"" page from the ""Contact us"" page","TX_017 Chech that ""Support Center"" link navigate to ""Support Center"" page from the ""Contact us"" page",""
"broken","Wed Jul 12 14:04:07 GMT 2023","Wed Jul 12 14:04:20 GMT 2023","13024","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_012 Test ""Become a Telnyx Partner"" form with negative scenario where all fields are filled with incorrect data","TX_012 Test ""Become a Telnyx Partner"" form with negative scenario where all fields are filled with incorrect data",""
"passed","Wed Jul 12 14:04:26 GMT 2023","Wed Jul 12 14:04:40 GMT 2023","13229","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_014 Test Sign In form from Sign Up page with negative scenario where all fields are filled with incorrect credentials","TX_014 Test Sign In form from Sign Up page with negative scenario where all fields are filled with incorrect credentials",""
"passed","Wed Jul 12 14:03:38 GMT 2023","Wed Jul 12 14:03:43 GMT 2023","4700","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_008 Chech that ""Mission Control"" link navigate to ""Mission Control"" page from the ""Why Telnyx"" dropdown","TX_008 Chech that ""Mission Control"" link navigate to ""Mission Control"" page from the ""Why Telnyx"" dropdown",""
"passed","Wed Jul 12 14:03:30 GMT 2023","Wed Jul 12 14:03:38 GMT 2023","8174","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_007 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data ​​in the required fields, form opened via link from the ""SMS API"" page","TX_007 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data ​​in the required fields, form opened via link from the ""SMS API"" page",""
