"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 12 14:30:22 GMT 2023","Wed Jul 12 14:30:42 GMT 2023","19918","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page",""
"broken","Wed Jul 12 14:30:15 GMT 2023","Wed Jul 12 14:30:28 GMT 2023","13730","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page",""
"broken","Wed Jul 12 14:30:46 GMT 2023","Wed Jul 12 14:30:58 GMT 2023","11472","","Testing telnyx with webdriverIO","","Testing telnyx with webdriverIO","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page",""
